Time,Current,Voltage,Power,Module_Temp,weather_POA,weather_GHI,weather_DNI,weather_DHI,weather_Air_Temp,weather_RH,weather_Pressure,weather_Wind_speed,weather_Rain
2024-09-02 07:00,0.035,146.044,0.005554,17.201,0.667,0.609,0,0.237,18.756,89.33,959.842,1.548,0
2024-09-02 07:10,0.099,207.966,0.02025,17.332,7.827,7.144,0.024,6.418,18.775,89.41,959.845,1.425,0
2024-09-02 07:20,0.194,212.764,0.04121,17.454,21.159,19.312,3.828,18.312,18.759,89.5,959.843,1.409,0
2024-09-02 07:30,0.326,222.295,0.072781,17.702,41.653,38.017,38.769,33.154,18.825,89.4,959.861,1.182,0
2024-09-02 07:40,0.465,232.474,0.108326,18.212,68.363,62.396,94.726,48.29,19.044,89.04,959.849,1.592,0
2024-09-02 07:50,0.66,206.864,0.135372,18.99,102.247,93.323,163.636,63.197,19.368,88.24,959.886,1.414,0
2024-09-02 08:00,0.876,233.497,0.204606,19.954,141.46,129.113,243.86,76.418,19.663,87.23,959.902,2.069,0
2024-09-02 08:10,1.161,235.017,0.272936,21.539,181.448,165.611,312.34,87.877,19.963,86.13,959.967,2.454,0
2024-09-02 08:20,1.47,236.764,0.348035,22.893,223.181,203.701,374.582,98.029,20.288,85.03,959.909,2.507,0
2024-09-02 08:30,1.809,237.564,0.429884,23.934,264.043,240.997,426.308,106.495,20.583,83.67,959.918,2.527,0
2024-09-02 08:40,2.172,236.747,0.514492,25.412,306.303,279.569,474.663,113.69,20.942,82.17,959.883,2.434,0
2024-09-02 08:50,2.555,235.077,0.600789,27.273,348.18,317.791,513.425,120.853,21.389,80.197,959.946,2.44,0
2024-09-02 09:00,3.033,232.943,0.706948,27.933,389.92,355.887,552.696,125.059,21.775,78.238,959.948,2.313,0
2024-09-02 09:10,3.953,235.485,0.931099,27.343,428.345,390.959,580.898,129.089,22.304,75.888,959.925,2.277,0
2024-09-02 09:20,4.368,232.867,1.01689,31.075,466.571,425.849,616.925,133.094,22.623,73.43,959.962,2.447,0
2024-09-02 09:30,4.781,230.612,1.102221,33.858,506.051,461.882,635.164,138.534,23.032,71.732,959.944,1.972,0
2024-09-02 09:40,5.221,229.249,1.196466,36.018,545.396,497.794,660.448,141.303,23.658,69.07,959.906,1.985,0
2024-09-02 09:50,5.619,227.917,1.280439,38.297,582.388,531.557,680.694,143.984,24.086,67.796,959.882,1.97,0
2024-09-02 10:00,6.01,226.519,1.361371,40.527,618.796,564.787,700.68,145.764,24.621,65.586,959.956,1.976,0
2024-09-02 10:10,6.367,225.535,1.436182,41.658,652.086,595.172,716.41,147.054,25.126,63.258,959.948,1.958,0
2024-09-02 10:20,6.708,225.175,1.510279,42.975,689.194,629.04,737.476,147.845,25.456,61.305,959.982,2.066,0
2024-09-02 10:30,7.039,224.141,1.57758,44.418,724.348,661.127,753.694,150.228,26.051,58.899,959.95,2.194,0
2024-09-02 10:40,7.392,221.36,1.636411,47.015,753.29,687.542,763.533,151.407,26.697,56.595,959.917,1.649,0
2024-09-02 10:50,7.695,220.722,1.698459,47.863,783.893,715.474,779.143,150.617,27.221,53.951,959.913,2.212,0
2024-09-02 11:00,7.943,220.724,1.752595,48.574,811.546,740.714,789.339,151.19,27.454,52.084,959.818,2.222,0
2024-09-02 11:10,8.237,218.782,1.802549,50.88,839.388,766.125,801.541,150.826,27.932,49.664,959.686,1.832,0
2024-09-02 11:20,8.437,218.025,1.839704,51.167,861.65,786.444,801.895,155.503,28.504,48.239,959.678,2.236,0
2024-09-02 11:30,8.598,217.722,1.872582,52.508,884.479,807.28,806.202,158.145,28.7,46.985,959.63,1.975,0
2024-09-02 11:40,8.813,218.56,1.926408,52.104,907.653,828.432,813.375,159.814,29.134,46.182,959.426,2.514,0
2024-09-02 11:50,9.044,216.13,1.954547,52.69,925.986,845.165,816.07,161.703,29.631,44.783,959.334,2.105,0
2024-09-02 12:00,9.236,215.621,1.991092,53.505,941.563,859.382,817.667,163.676,30.292,42.845,959.22,2.894,0
2024-09-02 12:10,9.376,215.716,2.022148,53.836,959.486,875.741,824.254,164.265,30.338,43.203,959.13,2.666,0
2024-09-02 12:20,9.472,215.839,2.044491,54.543,974.794,889.713,830.162,164.175,31.046,40.951,959.036,2.888,0
2024-09-02 12:30,9.54,215.797,2.058488,55.363,984.973,899.004,832.686,163.561,31.085,40.453,958.928,2.708,0
2024-09-02 12:40,9.72,213.944,2.079175,55.515,996.631,909.644,839.001,162.432,31.864,38.352,958.768,3.033,0
